epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2638.1,1.11555,0.82324,1.31451,0.77058,0.73603,0.74972,0.29812,2.21336,1.08626,2.29221,0.000561279,0.000561279,0.000561279
69,2672.78,1.11523,0.81982,1.31062,0.7953,0.70732,0.74142,0.29925,2.22499,1.06664,2.28592,0.000544776,0.000544776,0.000544776
70,2707.39,1.11452,0.81676,1.30622,0.81416,0.73203,0.76148,0.30185,2.20096,1.06429,2.29128,0.000528272,0.000528272,0.000528272
71,2741.95,1.10085,0.80903,1.30208,0.80994,0.72508,0.74367,0.30717,2.1666,1.02743,2.24373,0.000511769,0.000511769,0.000511769
72,2776.59,1.11206,0.81524,1.30784,0.81122,0.70597,0.74983,0.30719,2.20225,1.06458,2.2905,0.000495266,0.000495266,0.000495266
73,2811.31,1.10666,0.81572,1.30715,0.77411,0.73001,0.74179,0.30203,2.19261,1.07165,2.25379,0.000478762,0.000478762,0.000478762
74,2846.03,1.10168,0.80411,1.3039,0.80121,0.73247,0.76518,0.30489,2.1804,1.04489,2.26618,0.000462259,0.000462259,0.000462259
75,2880.68,1.10264,0.81191,1.3064,0.78114,0.74016,0.75398,0.30423,2.17904,1.0693,2.27931,0.000445756,0.000445756,0.000445756
76,2915.74,1.1013,0.80773,1.30251,0.78557,0.73987,0.75808,0.30543,2.20247,1.04536,2.30229,0.000429253,0.000429253,0.000429253
77,2950.51,1.09096,0.79615,1.29224,0.81666,0.72523,0.75517,0.30166,2.2161,1.05764,2.27856,0.000412749,0.000412749,0.000412749
78,2985.24,1.08968,0.79627,1.29013,0.80536,0.73479,0.75905,0.31335,2.11036,1.04985,2.16646,0.000396246,0.000396246,0.000396246
79,3019.82,1.08585,0.79157,1.28908,0.80166,0.72479,0.76004,0.30383,2.19218,1.04889,2.28913,0.000379743,0.000379743,0.000379743
80,3054.5,1.08177,0.79689,1.28812,0.80934,0.71016,0.74822,0.30212,2.16291,1.02448,2.24215,0.000363239,0.000363239,0.000363239
81,3089.14,1.07727,0.78733,1.2859,0.80309,0.72016,0.74861,0.30605,2.16737,1.0221,2.26011,0.000346736,0.000346736,0.000346736
82,3123.74,1.07155,0.79191,1.28712,0.81089,0.72902,0.75358,0.30708,2.15898,1.04653,2.24903,0.000330233,0.000330233,0.000330233
83,3158.34,1.07261,0.78345,1.28546,0.81124,0.7371,0.77108,0.31178,2.16972,1.03876,2.26508,0.000313729,0.000313729,0.000313729
84,3192.89,1.06637,0.78022,1.27875,0.78177,0.73957,0.76112,0.30946,2.16672,1.0361,2.24349,0.000297226,0.000297226,0.000297226
85,3227.35,1.06352,0.77753,1.27884,0.79501,0.73428,0.75837,0.30792,2.16104,1.02479,2.2515,0.000280723,0.000280723,0.000280723
86,3262.33,1.06573,0.77963,1.2799,0.81567,0.73355,0.77157,0.31359,2.14697,1.03211,2.2277,0.00026422,0.00026422,0.00026422
87,3296.98,1.06628,0.7782,1.27656,0.79858,0.73727,0.76689,0.31361,2.14151,1.03071,2.24125,0.000247716,0.000247716,0.000247716
88,3330.55,1.06377,0.77986,1.27758,0.8085,0.73681,0.76941,0.31313,2.11179,1.02533,2.21862,0.000231213,0.000231213,0.000231213
89,3363.93,1.06426,0.78177,1.28145,0.81265,0.7442,0.7552,0.31572,2.13664,1.01149,2.24819,0.00021471,0.00021471,0.00021471
90,3397.31,1.06023,0.77425,1.27776,0.79372,0.74203,0.7503,0.31432,2.13911,1.02003,2.24862,0.000198206,0.000198206,0.000198206
91,3433.98,1.02961,0.66216,1.3011,0.78241,0.73222,0.73776,0.30489,2.16894,1.01609,2.28386,0.000181703,0.000181703,0.000181703
92,3463,1.01967,0.64552,1.30108,0.79388,0.74912,0.75819,0.30888,2.17892,1.0118,2.29457,0.0001652,0.0001652,0.0001652
93,3491.95,1.01697,0.64466,1.29537,0.78729,0.75405,0.7613,0.311,2.17594,1.02763,2.27838,0.000148696,0.000148696,0.000148696
94,3521.1,1.00424,0.62951,1.27866,0.77517,0.74912,0.76189,0.31405,2.18128,1.02589,2.28359,0.000132193,0.000132193,0.000132193
95,3550.13,1.00396,0.6323,1.28294,0.78925,0.74813,0.75691,0.30897,2.1761,1.02848,2.28806,0.00011569,0.00011569,0.00011569
96,3579.09,0.99971,0.63295,1.28199,0.78067,0.76319,0.76395,0.31081,2.17085,1.02921,2.27338,9.91865e-05,9.91865e-05,9.91865e-05
97,3608.09,0.99523,0.62059,1.27269,0.77658,0.74792,0.76217,0.31149,2.17369,1.03113,2.27756,8.26832e-05,8.26832e-05,8.26832e-05
98,3637.18,0.99478,0.62482,1.27308,0.77373,0.7471,0.75774,0.3101,2.16641,1.02255,2.2601,6.61799e-05,6.61799e-05,6.61799e-05
99,3666.25,0.98777,0.62374,1.27086,0.76923,0.7372,0.7499,0.30929,2.16796,1.02443,2.26532,4.96766e-05,4.96766e-05,4.96766e-05
100,3695.24,0.98447,0.61885,1.26988,0.78702,0.74328,0.75927,0.31242,2.17085,1.02485,2.27261,3.31733e-05,3.31733e-05,3.31733e-05
